BioProject accession	BioSample accession	Library ID	Title	Library strategy	Library source	Library selection	Library layout	Platform	Instrument model	Design description	Filetype	Filename	filename2	SPUID	Organism	Tax ID
PRJNA548356	SAMN12025286	6212017HBC5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBC5_L001_R1_001.fastq.gz	6212017HBC5_L001_R2_001.fastq.gz	6212017HBC5	feces metagenome	1861841
PRJNA548356	SAMN12025287	6212017HBC6	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBC6_L001_R1_001.fastq.gz	6212017HBC6_L001_R2_001.fastq.gz	6212017HBC6	feces metagenome	1861841
PRJNA548356	SAMN12025288	6212017HBC7	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBC7_L001_R1_001.fastq.gz	6212017HBC7_L001_R2_001.fastq.gz	6212017HBC7	feces metagenome	1861841
PRJNA548356	SAMN12025289	6212017HBC8	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBC8_L001_R1_001.fastq.gz	6212017HBC8_L001_R2_001.fastq.gz	6212017HBC8	feces metagenome	1861841
PRJNA548356	SAMN12025290	6212017HBC9	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBC9_L001_R1_001.fastq.gz	6212017HBC9_L001_R2_001.fastq.gz	6212017HBC9	feces metagenome	1861841
PRJNA548356	SAMN12025291	6212017HBPoolC1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolC1_L001_R1_001.fastq.gz	6212017HBPoolC1_L001_R2_001.fastq.gz	6212017HBPoolC1	feces metagenome	1861841
PRJNA548356	SAMN12025292	6212017HBPoolC2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolC2_L001_R1_001.fastq.gz	6212017HBPoolC2_L001_R2_001.fastq.gz	6212017HBPoolC2	feces metagenome	1861841
PRJNA548356	SAMN12025293	6212017HBPoolC3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolC3_L001_R1_001.fastq.gz	6212017HBPoolC3_L001_R2_001.fastq.gz	6212017HBPoolC3	feces metagenome	1861841
PRJNA548356	SAMN12025294	6212017HBPoolC4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolC4_L001_R1_001.fastq.gz	6212017HBPoolC4_L001_R2_001.fastq.gz	6212017HBPoolC4	feces metagenome	1861841
PRJNA548356	SAMN12025295	6212017HBD1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBD1_L001_R1_001.fastq.gz	6212017HBD1_L001_R2_001.fastq.gz	6212017HBD1	feces metagenome	1861841
PRJNA548356	SAMN12025296	6212017HBD10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBD10_L001_R1_001.fastq.gz	6212017HBD10_L001_R2_001.fastq.gz	6212017HBD10	feces metagenome	1861841
PRJNA548356	SAMN12025297	6212017HBD2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBD2_L001_R1_001.fastq.gz	6212017HBD2_L001_R2_001.fastq.gz	6212017HBD2	feces metagenome	1861841
PRJNA548356	SAMN12025298	6212017HBD3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBD3_L001_R1_001.fastq.gz	6212017HBD3_L001_R2_001.fastq.gz	6212017HBD3	feces metagenome	1861841
PRJNA548356	SAMN12025299	6212017HBD4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBD4_L001_R1_001.fastq.gz	6212017HBD4_L001_R2_001.fastq.gz	6212017HBD4	feces metagenome	1861841
PRJNA548356	SAMN12025300	6212017HBD5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBD5_L001_R1_001.fastq.gz	6212017HBD5_L001_R2_001.fastq.gz	6212017HBD5	feces metagenome	1861841
PRJNA548356	SAMN12025301	6212017HBD6	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBD6_L001_R1_001.fastq.gz	6212017HBD6_L001_R2_001.fastq.gz	6212017HBD6	feces metagenome	1861841
PRJNA548356	SAMN12025302	6212017HBD7	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBD7_L001_R1_001.fastq.gz	6212017HBD7_L001_R2_001.fastq.gz	6212017HBD7	feces metagenome	1861841
PRJNA548356	SAMN12025303	6212017HBD8	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBD8_L001_R1_001.fastq.gz	6212017HBD8_L001_R2_001.fastq.gz	6212017HBD8	feces metagenome	1861841
PRJNA548356	SAMN12025304	6212017HBD9	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBD9_L001_R1_001.fastq.gz	6212017HBD9_L001_R2_001.fastq.gz	6212017HBD9	feces metagenome	1861841
PRJNA548356	SAMN12025305	6212017HBPoolD1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolD1_L001_R1_001.fastq.gz	6212017HBPoolD1_L001_R2_001.fastq.gz	6212017HBPoolD1	feces metagenome	1861841
PRJNA548356	SAMN12025306	6212017HBPoolD2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolD2_L001_R1_001.fastq.gz	6212017HBPoolD2_L001_R2_001.fastq.gz	6212017HBPoolD2	feces metagenome	1861841
PRJNA548356	SAMN12025307	6212017HBPoolD3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolD3_L001_R1_001.fastq.gz	6212017HBPoolD3_L001_R2_001.fastq.gz	6212017HBPoolD3	feces metagenome	1861841
PRJNA548356	SAMN12025308	6212017HBPoolD4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	6212017HBPoolD4_L001_R1_001.fastq.gz	6212017HBPoolD4_L001_R2_001.fastq.gz	6212017HBPoolD4	feces metagenome	1861841
PRJNA548356	SAMN12025309	7272017EGA1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGA1_L001_R1_001.fastq.gz	7272017EGA1_L001_R2_001.fastq.gz	7272017EGA1	feces metagenome	1861841
PRJNA548356	SAMN12025310	7272017EGA2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGA2_L001_R1_001.fastq.gz	7272017EGA2_L001_R2_001.fastq.gz	7272017EGA2	feces metagenome	1861841
PRJNA548356	SAMN12025311	7272017EGA3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGA3_L001_R1_001.fastq.gz	7272017EGA3_L001_R2_001.fastq.gz	7272017EGA3	feces metagenome	1861841
PRJNA548356	SAMN12025312	7272017EGA4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGA4_L001_R1_001.fastq.gz	7272017EGA4_L001_R2_001.fastq.gz	7272017EGA4	feces metagenome	1861841
PRJNA548356	SAMN12025313	7272017EGA5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGA5_L001_R1_001.fastq.gz	7272017EGA5_L001_R2_001.fastq.gz	7272017EGA5	feces metagenome	1861841
PRJNA548356	SAMN12025314	72717EgnerPoolB1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	72717EgnerPoolB1_L001_R1_001.fastq.gz	72717EgnerPoolB1_L001_R2_001.fastq.gz	72717EgnerPoolB1	feces metagenome	1861841
PRJNA548356	SAMN12025315	72717EgnerPoolB2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	72717EgnerPoolB2_L001_R1_001.fastq.gz	72717EgnerPoolB2_L001_R2_001.fastq.gz	72717EgnerPoolB2	feces metagenome	1861841
PRJNA548356	SAMN12025316	72717EgnerPoolB3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	72717EgnerPoolB3_L001_R1_001.fastq.gz	72717EgnerPoolB3_L001_R2_001.fastq.gz	72717EgnerPoolB3	feces metagenome	1861841
PRJNA548356	SAMN12025317	72717EgnerPoolB4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	72717EgnerPoolB4_L001_R1_001.fastq.gz	72717EgnerPoolB4_L001_R2_001.fastq.gz	72717EgnerPoolB4	feces metagenome	1861841
PRJNA548356	SAMN12025318	7272017EGB1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGB1_L001_R1_001.fastq.gz	7272017EGB1_L001_R2_001.fastq.gz	7272017EGB1	feces metagenome	1861841
PRJNA548356	SAMN12025319	7272017EGB10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGB10_L001_R1_001.fastq.gz	7272017EGB10_L001_R2_001.fastq.gz	7272017EGB10	feces metagenome	1861841
PRJNA548356	SAMN12025320	7272017EGB2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGB2_L001_R1_001.fastq.gz	7272017EGB2_L001_R2_001.fastq.gz	7272017EGB2	feces metagenome	1861841
PRJNA548356	SAMN12025321	7272017EGB3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGB3_L001_R1_001.fastq.gz	7272017EGB3_L001_R2_001.fastq.gz	7272017EGB3	feces metagenome	1861841
PRJNA548356	SAMN12025322	7272017EGB4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGB4_L001_R1_001.fastq.gz	7272017EGB4_L001_R2_001.fastq.gz	7272017EGB4	feces metagenome	1861841
PRJNA548356	SAMN12025323	7272017EGB5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGB5_L001_R1_001.fastq.gz	7272017EGB5_L001_R2_001.fastq.gz	7272017EGB5	feces metagenome	1861841
PRJNA548356	SAMN12025324	7272017EGB6	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGB6_L001_R1_001.fastq.gz	7272017EGB6_L001_R2_001.fastq.gz	7272017EGB6	feces metagenome	1861841
PRJNA548356	SAMN12025325	7272017EGB7	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGB7_L001_R1_001.fastq.gz	7272017EGB7_L001_R2_001.fastq.gz	7272017EGB7	feces metagenome	1861841
PRJNA548356	SAMN12025326	7272017EGB8	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGB8_L001_R1_001.fastq.gz	7272017EGB8_L001_R2_001.fastq.gz	7272017EGB8	feces metagenome	1861841
PRJNA548356	SAMN12025327	7272017EGB9	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGB9_L001_R1_001.fastq.gz	7272017EGB9_L001_R2_001.fastq.gz	7272017EGB9	feces metagenome	1861841
PRJNA548356	SAMN12025328	7272017EGC1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGC1_L001_R1_001.fastq.gz	7272017EGC1_L001_R2_001.fastq.gz	7272017EGC1	feces metagenome	1861841
PRJNA548356	SAMN12025329	7272017EGC10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGC10_L001_R1_001.fastq.gz	7272017EGC10_L001_R2_001.fastq.gz	7272017EGC10	feces metagenome	1861841
PRJNA548356	SAMN12025330	7272017EGC2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGC2_L001_R1_001.fastq.gz	7272017EGC2_L001_R2_001.fastq.gz	7272017EGC2	feces metagenome	1861841
PRJNA548356	SAMN12025331	7272017EGC3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGC3_L001_R1_001.fastq.gz	7272017EGC3_L001_R2_001.fastq.gz	7272017EGC3	feces metagenome	1861841
PRJNA548356	SAMN12025332	7272017EGC4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGC4_L001_R1_001.fastq.gz	7272017EGC4_L001_R2_001.fastq.gz	7272017EGC4	feces metagenome	1861841
PRJNA548356	SAMN12025333	7272017EGC5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGC5_L001_R1_001.fastq.gz	7272017EGC5_L001_R2_001.fastq.gz	7272017EGC5	feces metagenome	1861841
PRJNA548356	SAMN12025334	7272017EGC6	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGC6_L001_R1_001.fastq.gz	7272017EGC6_L001_R2_001.fastq.gz	7272017EGC6	feces metagenome	1861841
PRJNA548356	SAMN12025335	7272017EGC7	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGC7_L001_R1_001.fastq.gz	7272017EGC7_L001_R2_001.fastq.gz	7272017EGC7	feces metagenome	1861841
PRJNA548356	SAMN12025336	7272017EGC8	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGC8_L001_R1_001.fastq.gz	7272017EGC8_L001_R2_001.fastq.gz	7272017EGC8	feces metagenome	1861841
PRJNA548356	SAMN12025337	7272017EGC9	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGC9_L001_R1_001.fastq.gz	7272017EGC9_L001_R2_001.fastq.gz	7272017EGC9	feces metagenome	1861841
PRJNA548356	SAMN12025338	7272017EgnerPoolC1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EgnerPoolC1_L001_R1_001.fastq.gz	7272017EgnerPoolC1_L001_R2_001.fastq.gz	7272017EgnerPoolC1	feces metagenome	1861841
PRJNA548356	SAMN12025339	7272017EgnerPoolC2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EgnerPoolC2_L001_R1_001.fastq.gz	7272017EgnerPoolC2_L001_R2_001.fastq.gz	7272017EgnerPoolC2	feces metagenome	1861841
PRJNA548356	SAMN12025340	7272017EgnerPoolC3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EgnerPoolC3_L001_R1_001.fastq.gz	7272017EgnerPoolC3_L001_R2_001.fastq.gz	7272017EgnerPoolC3	feces metagenome	1861841
PRJNA548356	SAMN12025341	7272017EgnerPoolC4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EgnerPoolC4_L001_R1_001.fastq.gz	7272017EgnerPoolC4_L001_R2_001.fastq.gz	7272017EgnerPoolC4	feces metagenome	1861841
PRJNA548356	SAMN12025342	7272017EGD1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGD1_L001_R1_001.fastq.gz	7272017EGD1_L001_R2_001.fastq.gz	7272017EGD1	feces metagenome	1861841
PRJNA548356	SAMN12025343	7272017EGD10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGD10_L001_R1_001.fastq.gz	7272017EGD10_L001_R2_001.fastq.gz	7272017EGD10	feces metagenome	1861841
PRJNA548356	SAMN12025344	7272017EGD2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGD2_L001_R1_001.fastq.gz	7272017EGD2_L001_R2_001.fastq.gz	7272017EGD2	feces metagenome	1861841
PRJNA548356	SAMN12025345	7272017EGD3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGD3_L001_R1_001.fastq.gz	7272017EGD3_L001_R2_001.fastq.gz	7272017EGD3	feces metagenome	1861841
PRJNA548356	SAMN12025346	7272017EGD4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGD4_L001_R1_001.fastq.gz	7272017EGD4_L001_R2_001.fastq.gz	7272017EGD4	feces metagenome	1861841
PRJNA548356	SAMN12025347	7272017EGD5	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGD5_L001_R1_001.fastq.gz	7272017EGD5_L001_R2_001.fastq.gz	7272017EGD5	feces metagenome	1861841
PRJNA548356	SAMN12025348	7272017EGD6	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGD6_L001_R1_001.fastq.gz	7272017EGD6_L001_R2_001.fastq.gz	7272017EGD6	feces metagenome	1861841
PRJNA548356	SAMN12025349	7272017EGD7	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGD7_L001_R1_001.fastq.gz	7272017EGD7_L001_R2_001.fastq.gz	7272017EGD7	feces metagenome	1861841
PRJNA548356	SAMN12025350	7272017EGD8	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGD8_L001_R1_001.fastq.gz	7272017EGD8_L001_R2_001.fastq.gz	7272017EGD8	feces metagenome	1861841
PRJNA548356	SAMN12025351	7272017EGD9	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EGD9_L001_R1_001.fastq.gz	7272017EGD9_L001_R2_001.fastq.gz	7272017EGD9	feces metagenome	1861841
PRJNA548356	SAMN12025352	7272017EgnerPoolD1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EgnerPoolD1_L001_R1_001.fastq.gz	7272017EgnerPoolD1_L001_R2_001.fastq.gz	7272017EgnerPoolD1	feces metagenome	1861841
PRJNA548356	SAMN12025353	7272017EgnerPoolD2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EgnerPoolD2_L001_R1_001.fastq.gz	7272017EgnerPoolD2_L001_R2_001.fastq.gz	7272017EgnerPoolD2	feces metagenome	1861841
PRJNA548356	SAMN12025354	7272017EgnerPoolD3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EgnerPoolD3_L001_R1_001.fastq.gz	7272017EgnerPoolD3_L001_R2_001.fastq.gz	7272017EgnerPoolD3	feces metagenome	1861841
PRJNA548356	SAMN12025355	7272017EgnerPoolD4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017EgnerPoolD4_L001_R1_001.fastq.gz	7272017EgnerPoolD4_L001_R2_001.fastq.gz	7272017EgnerPoolD4	feces metagenome	1861841
PRJNA548356	SAMN12025356	7272017HBA1	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017HBA1_L001_R1_001.fastq.gz	7272017HBA1_L001_R2_001.fastq.gz	7272017HBA1	feces metagenome	1861841
PRJNA548356	SAMN12025357	7272017HBA10	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017HBA10_L001_R1_001.fastq.gz	7272017HBA10_L001_R2_001.fastq.gz	7272017HBA10	feces metagenome	1861841
PRJNA548356	SAMN12025358	7272017HBA2	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017HBA2_L001_R1_001.fastq.gz	7272017HBA2_L001_R2_001.fastq.gz	7272017HBA2	feces metagenome	1861841
PRJNA548356	SAMN12025359	7272017HBA3	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017HBA3_L001_R1_001.fastq.gz	7272017HBA3_L001_R2_001.fastq.gz	7272017HBA3	feces metagenome	1861841
PRJNA548356	SAMN12025360	7272017HBA4	Arthropod COI amplicons from bat fecal sample	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	v3 chemistry with 600 cycles of 2x300 bp PE reads	fastq	7272017HBA4_L001_R1_001.fastq.gz	7272017HBA4_L001_R2_001.fastq.gz	7272017HBA4	feces metagenome	1861841
